GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
de.sven-torben.jaxrs-owasp-sanitizers:html,de.sven_torben.jaxrs_owasp_sanitizers.html,HtmlSanitizingWriterInterceptor,0,22,1,3,0,5,1,4,0,3
de.sven-torben.jaxrs-owasp-sanitizers:html,de.sven_torben.jaxrs_owasp_sanitizers.html,HtmlSanitizingReaderInterceptor,0,35,1,3,0,7,1,5,0,4
